State,Filed week ended,Initial Claims,Reflecting Week Ended,Continued Claims,Covered Employment,Insured Unemployment Rate
Alabama,11/18/00,"8,487",11/11/00,"31,991","1,820,517",1.76
Alabama,11/25/00,"4,284",11/18/00,"27,372","1,820,517",1.5
Alabama,12/2/00,"8,903",11/25/00,"33,865","1,820,517",1.86
Alabama,12/9/00,"7,418",12/2/00,"33,569","1,820,517",1.84
Alabama,12/16/00,"5,477",12/9/00,"31,739","1,820,517",1.74
Alabama,12/23/00,"6,788",12/16/00,"32,866","1,820,517",1.81
Alabama,12/30/00,"9,483",12/23/00,"38,562","1,820,517",2.12
Alabama,1/6/01,"13,752",12/30/00,"47,437","1,820,517",2.61
Alabama,1/13/01,"17,570",1/6/01,"54,383","1,823,189",2.98
Alabama,1/20/01,"15,076",1/13/01,"44,767","1,823,189",2.46
Alabama,1/27/01,"8,331",1/20/01,"41,430","1,823,189",2.27
Alabama,2/3/01,"8,056",1/27/01,"39,862","1,823,189",2.19
Alabama,2/10/01,"6,895",2/3/01,"38,765","1,823,189",2.13
Alabama,2/17/01,"5,217",2/10/01,"37,163","1,823,189",2.04
Alabama,2/24/01,"7,079",2/17/01,"37,774","1,823,189",2.07
Alabama,3/3/01,"5,787",2/24/01,"36,017","1,823,189",1.98
Alabama,3/10/01,"7,928",3/3/01,"37,538","1,823,189",2.06
Alabama,3/17/01,"5,426",3/10/01,"35,046","1,823,189",1.92
Alabama,3/24/01,"4,626",3/17/01,"34,123","1,823,189",1.87
Alabama,3/31/01,"5,367",3/24/01,"34,199","1,823,189",1.88
Alabama,4/7/01,"10,372",3/31/01,"38,799","1,823,189",2.13
Alabama,4/14/01,"5,378",4/7/01,"34,239","1,824,502",1.88
Alabama,4/21/01,"4,613",4/14/01,"33,371","1,824,502",1.83
Alabama,4/28/01,"7,207",4/21/01,"35,490","1,824,502",1.95
Alabama,5/5/01,"6,024",4/28/01,"34,358","1,824,502",1.88
Alabama,5/12/01,"5,626",5/5/01,"34,248","1,824,502",1.88
Alabama,5/19/01,"5,096",5/12/01,"34,065","1,824,502",1.87
Alabama,5/26/01,"5,703",5/19/01,"35,074","1,824,502",1.92
Alabama,6/2/01,"6,851",5/26/01,"36,551","1,824,502",2
Alabama,6/9/01,"7,438",6/2/01,"36,926","1,824,502",2.02
Alabama,6/16/01,"7,925",6/9/01,"38,955","1,824,502",2.14
Alabama,6/23/01,"6,391",6/16/01,"37,984","1,824,502",2.08
Alabama,6/30/01,"5,503",6/23/01,"36,800","1,824,502",2.02
Alabama,7/7/01,"5,141",6/30/01,"35,287","1,824,502",1.93
Alabama,7/14/01,"16,652",7/7/01,"48,644","1,825,062",2.67
Alabama,7/21/01,"9,058",7/14/01,"42,876","1,825,062",2.35
Alabama,7/28/01,"7,107",7/21/01,"39,343","1,825,062",2.16
Alabama,8/4/01,"5,751",7/28/01,"37,755","1,825,062",2.07
Alabama,8/11/01,"4,698",8/4/01,"36,038","1,825,062",1.97
Alabama,8/18/01,"5,679",8/11/01,"36,935","1,825,062",2.02
Alabama,8/25/01,"5,522",8/18/01,"36,725","1,825,062",2.01
Alabama,9/1/01,"4,320",8/25/01,"34,772","1,825,062",1.91
Alabama,9/8/01,"4,944",9/1/01,"33,704","1,825,062",1.85
Alabama,9/15/01,"7,328",9/8/01,"36,161","1,825,062",1.98
Alabama,9/22/01,"5,766",9/15/01,"35,417","1,825,062",1.94
Alabama,9/29/01,"5,257",9/22/01,"34,104","1,825,062",1.87
Alabama,10/6/01,"6,729",9/29/01,"35,935","1,825,062",1.97
Alabama,10/13/01,"7,139",10/6/01,"36,205","1,822,326",1.99
Alabama,10/20/01,"5,800",10/13/01,"36,728","1,822,326",2.02
Alabama,10/27/01,"6,529",10/20/01,"37,457","1,822,326",2.06
Alabama,11/3/01,"8,538",10/27/01,"39,151","1,822,326",2.15
Alabama,11/10/01,"6,021",11/3/01,"38,439","1,822,326",2.11
Alabama,11/17/01,"8,235",11/10/01,"39,701","1,822,326",2.18
Alabama,11/24/01,"4,181",11/17/01,"37,107","1,822,326",2.04
Alabama,12/1/01,"11,597",11/24/01,"46,464","1,822,326",2.55
Alabama,12/8/01,"8,136",12/1/01,"43,123","1,822,326",2.37
Alabama,12/15/01,"6,493",12/8/01,"42,112","1,822,326",2.31
Alabama,12/22/01,"6,700",12/15/01,"42,817","1,822,326",2.35
Alabama,12/29/01,"5,580",12/22/01,"44,551","1,822,326",2.44
Alabama,1/5/02,"15,926",12/29/01,"53,210","1,822,326",2.92
Alabama,1/12/02,"20,309",1/5/02,"62,404","1,819,587",3.43
Alabama,1/19/02,"10,934",1/12/02,"52,085","1,819,587",2.86
Alabama,1/26/02,"8,114",1/19/02,"47,687","1,819,587",2.62
Alabama,2/2/02,"6,746",1/26/02,"46,964","1,819,587",2.58
Alabama,2/9/02,"6,341",2/2/02,"45,441","1,819,587",2.5
Alabama,2/16/02,"5,196",2/9/02,"44,793","1,819,587",2.46
Alabama,2/23/02,"5,125",2/16/02,"44,009","1,819,587",2.42
Alabama,3/2/02,"4,602",2/23/02,"42,381","1,819,587",2.33
Alabama,3/9/02,"5,916",3/2/02,"43,092","1,819,587",2.37
Alabama,3/16/02,"4,779",3/9/02,"41,220","1,819,587",2.27
Alabama,3/23/02,"5,220",3/16/02,"41,207","1,819,587",2.26
Alabama,3/30/02,"5,436",3/23/02,"40,956","1,819,587",2.25
Alabama,4/6/02,"7,824",3/30/02,"41,844","1,819,587",2.3
Alabama,4/13/02,"7,375",4/6/02,"39,057","1,812,271",2.16
Alabama,4/20/02,"5,461",4/13/02,"40,042","1,812,271",2.21
Alabama,4/27/02,"5,631",4/20/02,"40,048","1,812,271",2.21
Alabama,5/4/02,"5,450",4/27/02,"39,641","1,812,271",2.19
Alabama,5/11/02,"4,902",5/4/02,"39,424","1,812,271",2.18
Alabama,5/18/02,"5,670",5/11/02,"39,529","1,812,271",2.18
Alabama,5/25/02,"4,123",5/18/02,"39,476","1,812,271",2.18
Alabama,6/1/02,"4,529",5/25/02,"39,608","1,812,271",2.19
Alabama,6/8/02,"6,079",6/1/02,"41,370","1,812,271",2.28
Alabama,6/15/02,"5,622",6/8/02,"42,042","1,812,271",2.32
Alabama,6/22/02,"4,528",6/15/02,"41,309","1,812,271",2.28
Alabama,6/29/02,"4,084",6/22/02,"40,765","1,812,271",2.25
Alabama,7/6/02,"3,687",6/29/02,"38,180","1,812,271",2.11
Alabama,7/13/02,"10,571",7/6/02,"45,686","1,803,850",2.53
Alabama,7/20/02,"10,153",7/13/02,"46,141","1,803,850",2.56
Alabama,7/27/02,"5,641",7/20/02,"41,246","1,803,850",2.29
Alabama,8/3/02,"4,141",7/27/02,"40,955","1,803,850",2.27
Alabama,8/10/02,"3,210",8/3/02,"39,413","1,803,850",2.18
Alabama,8/17/02,"3,281",8/10/02,"39,168","1,803,850",2.17
Alabama,8/24/02,"4,231",8/17/02,"37,607","1,803,850",2.08
Alabama,8/31/02,"3,464",8/24/02,"36,753","1,803,850",2.04
Alabama,9/7/02,"4,794",8/31/02,"36,716","1,803,850",2.04
Alabama,9/14/02,"4,739",9/7/02,"37,693","1,803,850",2.09
Alabama,9/21/02,"4,378",9/14/02,"36,354","1,803,850",2.02
Alabama,9/28/02,"4,574",9/21/02,"35,824","1,803,850",1.99
Alabama,10/5/02,"5,475",9/28/02,"36,044","1,803,850",2
Alabama,10/12/02,"5,807",10/5/02,"36,254","1,795,445",2.02
Alabama,10/19/02,"5,876",10/12/02,"35,782","1,795,445",1.99
Alabama,10/26/02,"5,872",10/19/02,"36,514","1,795,445",2.03
Alabama,11/2/02,"5,571",10/26/02,"36,061","1,795,445",2.01
Alabama,11/9/02,"5,285",11/2/02,"36,015","1,795,445",2.01
Alabama,11/16/02,"7,126",11/9/02,"37,736","1,795,445",2.1
Alabama,11/23/02,"6,051",11/16/02,"37,546","1,795,445",2.09
Alabama,11/30/02,"3,942",11/23/02,"35,008","1,795,445",1.95
Alabama,12/7/02,"10,806",11/30/02,"43,623","1,795,445",2.43
Alabama,12/14/02,"7,117",12/7/02,"39,539","1,795,445",2.2
Alabama,12/21/02,"6,838",12/14/02,"41,122","1,795,445",2.29
Alabama,12/28/02,"4,012",12/21/02,"35,652","1,795,445",1.99
Alabama,1/4/03,"12,526",12/28/02,"48,229","1,795,445",2.69
Alabama,1/11/03,"17,975",1/4/03,"53,802","1,787,038",3.01
Alabama,1/18/03,"11,318",1/11/03,"49,068","1,787,038",2.75
Alabama,1/25/03,"9,884",1/18/03,"47,423","1,787,038",2.65
Alabama,2/1/03,"6,039",1/25/03,"42,610","1,787,038",2.38
Alabama,2/8/03,"6,069",2/1/03,"42,322","1,787,038",2.37
Alabama,2/15/03,"4,997",2/8/03,"40,507","1,787,038",2.27
Alabama,2/22/03,"4,072",2/15/03,"39,326","1,787,038",2.2
Alabama,3/1/03,"5,653",2/22/03,"39,851","1,787,038",2.23
Alabama,3/8/03,"5,358",3/1/03,"39,906","1,787,038",2.23
Alabama,3/15/03,"5,274",3/8/03,"39,310","1,787,038",2.2
Alabama,3/22/03,"5,052",3/15/03,"38,080","1,787,038",2.13
Alabama,3/29/03,"5,405",3/22/03,"38,334","1,787,038",2.15
Alabama,4/5/03,"7,616",3/29/03,"39,859","1,787,038",2.23
Alabama,4/12/03,"5,798",4/5/03,"37,326","1,783,165",2.09
Alabama,4/19/03,"6,927",4/12/03,"39,452","1,783,165",2.21
Alabama,4/26/03,"5,525",4/19/03,"37,851","1,783,165",2.12
Alabama,5/3/03,"5,001",4/26/03,"37,086","1,783,165",2.08
Alabama,5/10/03,"5,121",5/3/03,"36,462","1,783,165",2.04
Alabama,5/17/03,"7,375",5/10/03,"39,135","1,783,165",2.19
Alabama,5/24/03,"5,945",5/17/03,"37,913","1,783,165",2.13
Alabama,5/31/03,"6,167",5/24/03,"37,992","1,783,165",2.13
Alabama,6/7/03,"9,216",5/31/03,"42,883","1,783,165",2.4
Alabama,6/14/03,"6,604",6/7/03,"41,933","1,783,165",2.35
Alabama,6/21/03,"5,616",6/14/03,"40,838","1,783,165",2.29
Alabama,6/28/03,"5,066",6/21/03,"40,208","1,783,165",2.25
Alabama,7/5/03,"5,835",6/28/03,"40,331","1,783,165",2.26
Alabama,7/12/03,"13,739",7/5/03,"49,069","1,780,317",2.76
Alabama,7/19/03,"7,438",7/12/03,"44,306","1,780,317",2.49
Alabama,7/26/03,"5,473",7/19/03,"41,418","1,780,317",2.33
Alabama,8/2/03,"5,579",7/26/03,"40,704","1,780,317",2.29
Alabama,8/9/03,"5,748",8/2/03,"40,424","1,780,317",2.27
Alabama,8/16/03,"5,166",8/9/03,"39,715","1,780,317",2.23
Alabama,8/23/03,"5,897",8/16/03,"39,394","1,780,317",2.21
Alabama,8/30/03,"4,238",8/23/03,"37,360","1,780,317",2.1
Alabama,9/6/03,"4,234",8/30/03,"36,511","1,780,317",2.05
Alabama,9/13/03,"4,734",9/6/03,"36,743","1,780,317",2.06
Alabama,9/20/03,"4,290",9/13/03,"35,596","1,780,317",2
Alabama,9/27/03,"4,057",9/20/03,"34,874","1,780,317",1.96
Alabama,10/4/03,"4,876",9/27/03,"34,926","1,780,317",1.96
Alabama,10/11/03,"4,670",10/4/03,"33,785","1,778,393",1.9
Alabama,10/18/03,"4,565",10/11/03,"34,276","1,778,393",1.93
Alabama,10/25/03,"4,639",10/18/03,"34,563","1,778,393",1.94
Alabama,11/1/03,"4,271",10/25/03,"33,555","1,778,393",1.89
Alabama,11/8/03,"5,123",11/1/03,"33,579","1,778,393",1.89
Alabama,11/15/03,"3,945",11/8/03,"33,061","1,778,393",1.86
Alabama,11/22/03,"5,783",11/15/03,"34,923","1,778,393",1.96
Alabama,11/29/03,"2,964",11/22/03,"31,699","1,778,393",1.78
Alabama,12/6/03,"9,158",11/29/03,"27,548","1,778,393",1.55
Alabama,12/13/03,"6,190",12/6/03,"34,868","1,778,393",1.96
Alabama,12/20/03,"4,772",12/13/03,"34,362","1,778,393",1.93
Alabama,12/27/03,"5,815",12/20/03,"35,423","1,778,393",1.99
Alabama,1/3/04,"11,674",12/27/03,"43,847","1,778,393",2.47
Alabama,1/10/04,"15,882",1/3/04,"51,672","1,775,820",2.91
Alabama,1/17/04,"9,032",1/10/04,"42,674","1,775,820",2.4
Alabama,1/24/04,"5,454",1/17/04,"37,492","1,775,820",2.11
Alabama,1/31/04,"5,690",1/24/04,"37,343","1,775,820",2.1
Alabama,2/7/04,"4,776",1/31/04,"36,091","1,775,820",2.03
Alabama,2/14/04,"5,422",2/7/04,"36,418","1,775,820",2.05
Alabama,2/21/04,"4,631",2/14/04,"34,783","1,775,820",1.96
Alabama,2/28/04,"3,855",2/21/04,"33,295","1,775,820",1.87
Alabama,3/6/04,"4,967",2/28/04,"33,740","1,775,820",1.9
Alabama,3/13/04,"3,929",3/6/04,"32,436","1,775,820",1.83
Alabama,3/20/04,"4,146",3/13/04,"31,825","1,775,820",1.79
Alabama,3/27/04,"4,568",3/20/04,"31,597","1,775,820",1.78
Alabama,4/3/04,"4,740",3/27/04,"32,140","1,775,820",1.81
Alabama,4/10/04,"4,541",4/3/04,"29,854","1,773,369",1.68
Alabama,4/17/04,"4,026",4/10/04,"29,658","1,773,369",1.67
Alabama,4/24/04,"4,334",4/17/04,"29,723","1,773,369",1.68
Alabama,5/1/04,"3,828",4/24/04,"29,138","1,773,369",1.64
Alabama,5/8/04,"4,021",5/1/04,"29,077","1,773,369",1.64
Alabama,5/15/04,"5,266",5/8/04,"30,023","1,773,369",1.69
Alabama,5/22/04,"5,414",5/15/04,"30,152","1,773,369",1.7
Alabama,5/29/04,"5,008",5/22/04,"29,963","1,773,369",1.69
Alabama,6/5/04,"4,404",5/29/04,"30,634","1,773,369",1.73
Alabama,6/12/04,"5,288",6/5/04,"32,948","1,773,369",1.86
Alabama,6/19/04,"4,064",6/12/04,"31,237","1,773,369",1.76
Alabama,6/26/04,"3,766",6/19/04,"31,434","1,773,369",1.77
Alabama,7/3/04,"5,312",6/26/04,"31,633","1,773,369",1.78
Alabama,7/10/04,"6,227",7/3/04,"33,150","1,772,774",1.87
Alabama,7/17/04,"9,119",7/10/04,"37,055","1,772,774",2.09
Alabama,7/24/04,"5,662",7/17/04,"34,853","1,772,774",1.97
Alabama,7/31/04,"4,668",7/24/04,"31,605","1,772,774",1.78
Alabama,8/7/04,"4,258",7/31/04,"31,675","1,772,774",1.79
Alabama,8/14/04,"4,067",8/7/04,"30,914","1,772,774",1.74
Alabama,8/21/04,"3,456",8/14/04,"29,853","1,772,774",1.68
Alabama,8/28/04,"3,509",8/21/04,"28,622","1,772,774",1.61
Alabama,9/4/04,"3,923",8/28/04,"28,167","1,772,774",1.59
Alabama,9/11/04,"3,367",9/4/04,"27,692","1,772,774",1.56
Alabama,9/18/04,"2,678",9/11/04,"26,638","1,772,774",1.5
Alabama,9/25/04,"9,342",9/18/04,"30,215","1,772,774",1.7
Alabama,10/2/04,"8,395",9/25/04,"31,625","1,772,774",1.78
Alabama,10/9/04,"6,711",10/2/04,"29,868","1,775,925",1.68
Alabama,10/16/04,"4,984",10/9/04,"28,757","1,775,925",1.62
Alabama,10/23/04,"4,569",10/16/04,"29,085","1,775,925",1.64
Alabama,10/30/04,"4,065",10/23/04,"27,961","1,775,925",1.57
Alabama,11/6/04,"4,220",10/30/04,"27,839","1,775,925",1.57
Alabama,11/13/04,"3,611",11/6/04,"27,565","1,775,925",1.55
Alabama,11/20/04,"3,613",11/13/04,"27,324","1,775,925",1.54
Alabama,11/27/04,"2,603",11/20/04,"26,079","1,775,925",1.47
Alabama,12/4/04,"7,689",11/27/04,"32,129","1,775,925",1.81
Alabama,12/11/04,"5,333",12/4/04,"28,970","1,775,925",1.63
Alabama,12/18/04,"4,328",12/11/04,"28,609","1,775,925",1.61
Alabama,12/25/04,"4,236",12/18/04,"28,064","1,775,925",1.58
Alabama,1/1/05,"7,965",12/25/04,"32,436","1,775,925",1.83
Alabama,1/8/05,"15,237",1/1/05,"42,285","1,782,461",2.37
Alabama,1/15/05,"9,522",1/8/05,"36,726","1,782,461",2.06
Alabama,1/22/05,"4,716",1/15/05,"30,467","1,782,461",1.71
Alabama,1/29/05,"4,242",1/22/05,"29,644","1,782,461",1.66
Alabama,2/5/05,"4,186",1/29/05,"28,566","1,782,461",1.6
Alabama,2/12/05,"4,242",2/5/05,"28,796","1,782,461",1.62
Alabama,2/19/05,"3,805",2/12/05,"28,033","1,782,461",1.57
Alabama,2/26/05,"2,707",2/19/05,"26,436","1,782,461",1.48
Alabama,3/5/05,"3,703",2/26/05,"26,552","1,782,461",1.49
Alabama,3/12/05,"3,994",3/5/05,"26,379","1,782,461",1.48
Alabama,3/19/05,"3,367",3/12/05,"25,971","1,782,461",1.46
Alabama,3/26/05,"3,285",3/19/05,"25,501","1,782,461",1.43
Alabama,4/2/05,"4,498",3/26/05,"26,199","1,782,461",1.47
Alabama,4/9/05,"4,469",4/2/05,"25,197","1,790,866",1.41
Alabama,4/16/05,"3,737",4/9/05,"24,618","1,790,866",1.37
Alabama,4/23/05,"4,075",4/16/05,"24,321","1,790,866",1.36
Alabama,4/30/05,"3,894",4/23/05,"25,117","1,790,866",1.4
Alabama,5/7/05,"3,829",4/30/05,"24,847","1,790,866",1.39
Alabama,5/14/05,"4,367",5/7/05,"25,067","1,790,866",1.4
Alabama,5/21/05,"4,449",5/14/05,"25,806","1,790,866",1.44
Alabama,5/28/05,"4,762",5/21/05,"25,923","1,790,866",1.45
Alabama,6/4/05,"4,870",5/28/05,"26,916","1,790,866",1.5
Alabama,6/11/05,"5,014",6/4/05,"29,409","1,790,866",1.64
Alabama,6/18/05,"4,092",6/11/05,"29,131","1,790,866",1.63
Alabama,6/25/05,"3,709",6/18/05,"28,993","1,790,866",1.62
Alabama,7/2/05,"4,282",6/25/05,"28,932","1,790,866",1.62
Alabama,7/9/05,"5,849",7/2/05,"30,069","1,800,707",1.67
Alabama,7/16/05,"10,003",7/9/05,"36,244","1,800,707",2.01
Alabama,7/23/05,"5,737",7/16/05,"32,699","1,800,707",1.82
Alabama,7/30/05,"4,619",7/23/05,"30,555","1,800,707",1.7
Alabama,8/6/05,"3,751",7/30/05,"29,385","1,800,707",1.63
Alabama,8/13/05,"3,485",8/6/05,"28,735","1,800,707",1.6
Alabama,8/20/05,"3,849",8/13/05,"28,450","1,800,707",1.58
Alabama,8/27/05,"3,183",8/20/05,"27,602","1,800,707",1.53
Alabama,9/3/05,"5,595",8/27/05,"26,532","1,800,707",1.47
Alabama,9/10/05,"8,376",9/3/05,"29,017","1,800,707",1.61
Alabama,9/17/05,"6,464",9/10/05,"30,437","1,800,707",1.69
Alabama,9/24/05,"4,113",9/17/05,"27,991","1,800,707",1.55
Alabama,10/1/05,"3,936",9/24/05,"28,107","1,800,707",1.56
Alabama,10/8/05,"4,963",10/1/05,"27,849","1,809,380",1.54
Alabama,10/15/05,"3,308",10/8/05,"26,455","1,809,380",1.46
Alabama,10/22/05,"3,562",10/15/05,"26,180","1,809,380",1.45
Alabama,10/29/05,"3,124",10/22/05,"25,312","1,809,380",1.4
Alabama,11/5/05,"4,435",10/29/05,"25,809","1,809,380",1.43
Alabama,11/12/05,"3,144",11/5/05,"24,208","1,809,380",1.34
Alabama,11/19/05,"3,781",11/12/05,"25,036","1,809,380",1.38
Alabama,11/26/05,"2,496",11/19/05,"23,292","1,809,380",1.29
Alabama,12/3/05,"5,820",11/26/05,"28,378","1,809,380",1.57
Alabama,12/10/05,"3,893",12/3/05,"26,443","1,809,380",1.46
Alabama,12/17/05,"3,622",12/10/05,"26,254","1,809,380",1.45
Alabama,12/24/05,"3,962",12/17/05,"26,268","1,809,380",1.45
Alabama,12/31/05,"7,161",12/24/05,"29,743","1,809,380",1.64
Alabama,1/7/06,"15,236",12/31/05,"41,583","1,809,380",2.3
Alabama,1/14/06,"8,235",1/7/06,"33,939","1,820,752",1.86
Alabama,1/21/06,"3,871",1/14/06,"28,240","1,820,752",1.55
Alabama,1/28/06,"4,108",1/21/06,"27,930","1,820,752",1.53
Alabama,2/4/06,"3,281",1/28/06,"26,812","1,820,752",1.47
Alabama,2/11/06,"3,794",2/4/06,"26,342","1,820,752",1.45
Alabama,2/18/06,"3,231",2/11/06,"25,764","1,820,752",1.42
Alabama,2/25/06,"2,962",2/18/06,"25,085","1,820,752",1.38
Alabama,3/4/06,"3,933",2/25/06,"25,353","1,820,752",1.39
Alabama,3/11/06,"3,891",3/4/06,"24,723","1,820,752",1.36
Alabama,3/18/06,"3,597",3/11/06,"24,583","1,820,752",1.35
Alabama,3/25/06,"3,489",3/18/06,"23,506","1,820,752",1.29
Alabama,4/1/06,"5,319",3/25/06,"25,319","1,820,752",1.39
Alabama,4/8/06,"3,781",4/1/06,"23,770","1,820,752",1.31
Alabama,4/15/06,"3,117",4/8/06,"22,991","1,831,201",1.26
Alabama,4/22/06,"4,038",4/15/06,"23,635","1,831,201",1.29
Alabama,4/29/06,"4,890",4/22/06,"24,174","1,831,201",1.32
Alabama,5/6/06,"3,555",4/29/06,"22,677","1,831,201",1.24
Alabama,5/13/06,"4,006",5/6/06,"23,367","1,831,201",1.28
Alabama,5/20/06,"4,499",5/13/06,"23,671","1,831,201",1.29
Alabama,5/27/06,"4,282",5/20/06,"23,855","1,831,201",1.3
Alabama,6/3/06,"4,223",5/27/06,"24,370","1,831,201",1.33
Alabama,6/10/06,"5,481",6/3/06,"26,921","1,831,201",1.47
Alabama,6/17/06,"4,108",6/10/06,"26,477","1,831,201",1.45
Alabama,6/24/06,"3,607",6/17/06,"26,290","1,831,201",1.44
Alabama,7/1/06,"3,730",6/24/06,"26,576","1,831,201",1.45
Alabama,7/8/06,"5,644",7/1/06,"27,080","1,831,201",1.48
Alabama,7/15/06,"11,242",7/8/06,"35,912","1,843,221",1.95
Alabama,7/22/06,"6,207",7/15/06,"30,530","1,843,221",1.66
Alabama,7/29/06,"4,398",7/22/06,"28,895","1,843,221",1.57
Alabama,8/5/06,"3,633",7/29/06,"28,237","1,843,221",1.53
Alabama,8/12/06,"3,711",8/5/06,"27,867","1,843,221",1.51
Alabama,8/19/06,"3,789",8/12/06,"27,309","1,843,221",1.48
Alabama,8/26/06,"3,303",8/19/06,"26,914","1,843,221",1.46
Alabama,9/2/06,"3,471",8/26/06,"26,649","1,843,221",1.45
Alabama,9/9/06,"3,283",9/2/06,"25,807","1,843,221",1.4
Alabama,9/16/06,"3,965",9/9/06,"26,529","1,843,221",1.44
Alabama,9/23/06,"3,894",9/16/06,"25,766","1,843,221",1.4
Alabama,9/30/06,"3,341",9/23/06,"25,402","1,843,221",1.38
Alabama,10/7/06,"5,433",9/30/06,"26,132","1,843,221",1.42
Alabama,10/14/06,"4,322",10/7/06,"26,132","1,854,566",1.41
Alabama,10/21/06,"4,733",10/14/06,"26,707","1,854,566",1.44
Alabama,10/28/06,"4,636",10/21/06,"26,435","1,854,566",1.43
Alabama,11/4/06,"4,411",10/28/06,"26,045","1,854,566",1.4
Alabama,11/11/06,"3,531",11/4/06,"24,954","1,854,566",1.35
Alabama,11/18/06,"4,498",11/11/06,"26,207","1,854,566",1.41
Alabama,11/25/06,"3,469",11/18/06,"25,709","1,854,566",1.39
Alabama,12/2/06,"7,374",11/25/06,"29,968","1,854,566",1.62
Alabama,12/9/06,"4,952",12/2/06,"27,703","1,854,566",1.49
Alabama,12/16/06,"5,186",12/9/06,"28,307","1,854,566",1.53
Alabama,12/23/06,"4,440",12/16/06,"26,838","1,854,566",1.45
Alabama,12/30/06,"8,056",12/23/06,"30,336","1,854,566",1.64
Alabama,1/6/07,"13,183",12/30/06,"39,917","1,854,566",2.15
Alabama,1/13/07,"11,824",1/6/07,"37,944","1,864,118",2.04
Alabama,1/20/07,"5,725",1/13/07,"31,738","1,864,118",1.7
Alabama,1/27/07,"4,110",1/20/07,"29,247","1,864,118",1.57
Alabama,2/3/07,"3,531",1/27/07,"27,993","1,864,118",1.5
Alabama,2/10/07,"3,585",2/3/07,"27,413","1,864,118",1.47
Alabama,2/17/07,"3,882",2/10/07,"27,260","1,864,118",1.46
Alabama,2/24/07,"3,171",2/17/07,"26,580","1,864,118",1.43
Alabama,3/3/07,"4,361",2/24/07,"26,402","1,864,118",1.42
Alabama,3/10/07,"4,021",3/3/07,"26,349","1,864,118",1.41
